parameter	renewable_signal(interval)	/
1	0.129769	
2	0.117291	
3	0.104814	
4	0.0923358	
5	0.079858	
6	0.0673802	
7	0.0549024	
8	0.0424246	
9	0.0299468	
10	0.0174689	
11	0.00499113	
12	-0.00748669	
13	0.079858	
14	0.0713731	
15	0.0628882	
16	0.0544033	
17	0.0459184	
18	0.0374335	
19	0.0289485	
20	0.0204636	
21	0.0119787	
22	0.00349379	
23	-0.00499113	
24	-0.013476	
25	0.0459184	
26	0.0452529	
27	0.0445874	
28	0.0439219	
29	0.0432564	
30	0.0425909	
31	0.0419255	
32	0.04126	
33	0.0405945	
34	0.039929	
35	0.0392635	
36	0.038598	
37	0.0432564	
38	0.0415927	
39	0.039929	
40	0.0382653	
41	0.0366016	
42	0.0349379	
43	0.0332742	
44	0.0316105	
45	0.0299468	
46	0.0282831	
47	0.0266193	
48	0.0249556	
49	0.0366016	
50	0.0332187	
51	0.0298358	
52	0.026453	
53	0.0230701	
54	0.0196872	
55	0.0163043	
56	0.0129215	
57	0.0095386	
58	0.00615572	
59	0.00277285	
60	-0.000610027	
61	0.0230701	
62	0.0229037	
63	0.0227374	
64	0.022571	
65	0.0224046	
66	0.0222382	
67	0.0220719	
68	0.0219055	
69	0.0217391	
70	0.0215728	
71	0.0214064	
72	0.02124	
73	0.0224046	
74	0.0222382	
75	0.0220719	
76	0.0219055	
77	0.0217391	
78	0.0215728	
79	0.0214064	
80	0.02124	
81	0.0210736	
82	0.0209073	
83	0.0207409	
84	0.0205745	
85	0.0217391	
86	0.0213509	
87	0.0209627	
88	0.0205745	
89	0.0201863	
90	0.0197981	
91	0.0194099	
92	0.0190217	
93	0.0186335	
94	0.0182453	
95	0.0178571	
96	0.0174689	
97	0.0201863	
98	0.0197427	
99	0.019299	
100	0.0188554	
101	0.0184117	
102	0.0179681	
103	0.0175244	
104	0.0170807	
105	0.0166371	
106	0.0161934	
107	0.0157498	
108	0.0153061	
109	0.0184117	
110	0.0194099	
111	0.0204082	
112	0.0214064	
113	0.0224046	
114	0.0234028	
115	0.0244011	
116	0.0253993	
117	0.0263975	
118	0.0273957	
119	0.028394	
120	0.0293922	
121	0.0224046	
122	0.0215728	
123	0.0207409	
124	0.0199091	
125	0.0190772	
126	0.0182453	
127	0.0174135	
128	0.0165816	
129	0.0157498	
130	0.0149179	
131	0.0140861	
132	0.0132542	
133	0.0190772	
134	0.0179126	
135	0.016748	
136	0.0155834	
137	0.0144188	
138	0.0132542	
139	0.0120896	
140	0.010925	
141	0.00976043	
142	0.00859583	
143	0.00743123	
144	0.00626664	
145	0.0144188	
146	0.0145297	
147	0.0146406	
148	0.0147516	
149	0.0148625	
150	0.0149734	
151	0.0150843	
152	0.0151952	
153	0.0153061	
154	0.015417	
155	0.015528	
156	0.0156389	
157	0.0148625	
158	0.0145297	
159	0.014197	
160	0.0138642	
161	0.0135315	
162	0.0131988	
163	0.012866	
164	0.0125333	
165	0.0122005	
166	0.0118678	
167	0.011535	
168	0.0112023	
169	0.0135315	
170	0.0125887	
171	0.011646	
172	0.0107032	
173	0.00976043	
174	0.00881766	
175	0.00787489	
176	0.00693212	
177	0.00598935	
178	0.00504658	
179	0.00410382	
180	0.00316105	
181	0.00976043	
182	0.00892857	
183	0.00809672	
184	0.00726486	
185	0.00643301	
186	0.00560115	
187	0.0047693	
188	0.00393744	
189	0.00310559	
190	0.00227374	
191	0.00144188	
192	0.000610027	
193	0.00643301	
194	0.00682121	
195	0.00720941	
196	0.0075976	
197	0.0079858	
198	0.008374	
199	0.0087622	
200	0.0091504	
201	0.0095386	
202	0.0099268	
203	0.010315	
204	0.0107032	
205	0.0079858	
206	0.00726486	
207	0.00654392	
208	0.00582298	
209	0.00510204	
210	0.0043811	
211	0.00366016	
212	0.00293922	
213	0.00221828	
214	0.00149734	
215	0.000776398	
216	5.5457e-05	
217	0.00510204	
218	0.00454747	
219	0.0039929	
220	0.00343833	
221	0.00288376	
222	0.00232919	
223	0.00177462	
224	0.00122005	
225	0.000665484	
226	0.000110914	
227	-0.000443656	
228	-0.000998225	
229	0.00288376	
230	0.00316105	
231	0.00343833	
232	0.00371562	
233	0.0039929	
234	0.00427019	
235	0.00454747	
236	0.00482476	
237	0.00510204	
238	0.00537933	
239	0.00565661	
240	0.0059339	
241	0.0039929	
242	0.00432564	
243	0.00465839	
244	0.00499113	
245	0.00532387	
246	0.00565661	
247	0.00598935	
248	0.00632209	
249	0.00665484	
250	0.00698758	
251	0.00732032	
252	0.00765306	
253	0.00532387	
254	0.00565661	
255	0.00598935	
256	0.00632209	
257	0.00665484	
258	0.00698758	
259	0.00732032	
260	0.00765306	
261	0.0079858	
262	0.00831854	
263	0.00865129	
264	0.00898403	
265	0.00665484	
266	0.00637755	
267	0.00610027	
268	0.00582298	
269	0.0055457	
270	0.00526841	
271	0.00499113	
272	0.00471384	
273	0.00443656	
274	0.00415927	
275	0.00388199	
276	0.0036047	
277	0.0055457	
278	0.00504658	
279	0.00454747	
280	0.00404836	
281	0.00354925	
282	0.00305013	
283	0.00255102	
284	0.00205191	
285	0.0015528	
286	0.00105368	
287	0.00055457	
288	5.5457e-05	
289	0.00354925	
290	0.00549024	
291	0.00743123	
292	0.00937223	
293	0.0113132	
294	0.0132542	
295	0.0151952	
296	0.0171362	
297	0.0190772	
298	0.0210182	
299	0.0229592	
300	0.0249002	
301	0.0113132	
302	0.011535	
303	0.0117569	
304	0.0119787	
305	0.0122005	
306	0.0124224	
307	0.0126442	
308	0.012866	
309	0.0130878	
310	0.0133097	
311	0.0135315	
312	0.0137533	
313	0.0122005	
314	0.0118123	
315	0.0114241	
316	0.0110359	
317	0.0106477	
318	0.0102595	
319	0.00987134	
320	0.00948314	
321	0.00909494	
322	0.00870674	
323	0.00831854	
324	0.00793035	
325	0.0106477	
326	0.0101486	
327	0.00964951	
328	0.0091504	
329	0.00865129	
330	0.00815217	
331	0.00765306	
332	0.00715395	
333	0.00665484	
334	0.00615572	
335	0.00565661	
336	0.0051575	
337	0.00865129	
338	0.00781943	
339	0.00698758	
340	0.00615572	
341	0.00532387	
342	0.00449201	
343	0.00366016	
344	0.00282831	
345	0.00199645	
346	0.0011646	
347	0.000332742	
348	-0.000499113	
349	0.00532387	
350	0.00587844	
351	0.00643301	
352	0.00698758	
353	0.00754215	
354	0.00809672	
355	0.00865129	
356	0.00920586	
357	0.00976043	
358	0.010315	
359	0.0108696	
360	0.0114241	
361	0.00754215	
362	0.00865129	
363	0.00976043	
364	0.0108696	
365	0.0119787	
366	0.0130878	
367	0.014197	
368	0.0153061	
369	0.0164153	
370	0.0175244	
371	0.0186335	
372	0.0197427	
373	0.0119787	
374	0.0109805	
375	0.00998225	
376	0.00898403	
377	0.0079858	
378	0.00698758	
379	0.00598935	
380	0.00499113	
381	0.0039929	
382	0.00299468	
383	0.00199645	
384	0.000998225	
385	0.0079858	
386	0.00709849	
387	0.00621118	
388	0.00532387	
389	0.00443656	
390	0.00354925	
391	0.00266193	
392	0.00177462	
393	0.000887311	
394	0	
395	-0.000887311	
396	-0.00177462	
397	0.00443656	
398	0.00410382	
399	0.00377107	
400	0.00343833	
401	0.00310559	
402	0.00277285	
403	0.00244011	
404	0.00210736	
405	0.00177462	
406	0.00144188	
407	0.00110914	
408	0.000776398	
409	0.00310559	
410	0.00288376	
411	0.00266193	
412	0.00244011	
413	0.00221828	
414	0.00199645	
415	0.00177462	
416	0.0015528	
417	0.00133097	
418	0.00110914	
419	0.000887311	
420	0.000665484	
421	0.00221828	
422	0.00205191	
423	0.00188554	
424	0.00171917	
425	0.0015528	
426	0.00138642	
427	0.00122005	
428	0.00105368	
429	0.000887311	
430	0.000720941	
431	0.00055457	
432	0.000388199	
433	0.0015528	
434	0.00160825	
435	0.00166371	
436	0.00171917	
437	0.00177462	
438	0.00183008	
439	0.00188554	
440	0.00194099	
441	0.00199645	
442	0.00205191	
443	0.00210736	
444	0.00216282	
445	0.00177462	
446	0.00199645	
447	0.00221828	
448	0.00244011	
449	0.00266193	
450	0.00288376	
451	0.00310559	
452	0.00332742	
453	0.00354925	
454	0.00377107	
455	0.0039929	
456	0.00421473	
457	0.00266193	
458	0.00277285	
459	0.00288376	
460	0.00299468	
461	0.00310559	
462	0.0032165	
463	0.00332742	
464	0.00343833	
465	0.00354925	
466	0.00366016	
467	0.00377107	
468	0.00388199	
469	0.00310559	
470	0.00338287	
471	0.00366016	
472	0.00393744	
473	0.00421473	
474	0.00449201	
475	0.0047693	
476	0.00504658	
477	0.00532387	
478	0.00560115	
479	0.00587844	
480	0.00615572	
481	0.00421473	
482	0.00415927	
483	0.00410382	
484	0.00404836	
485	0.0039929	
486	0.00393744	
487	0.00388199	
488	0.00382653	
489	0.00377107	
490	0.00371562	
491	0.00366016	
492	0.0036047	
493	0.0039929	
494	0.00432564	
495	0.00465839	
496	0.00499113	
497	0.00532387	
498	0.00565661	
499	0.00598935	
500	0.00632209	
501	0.00665484	
502	0.00698758	
503	0.00732032	
504	0.00765306	
505	0.00532387	
506	0.00571207	
507	0.00610027	
508	0.00648846	
509	0.00687666	
510	0.00726486	
511	0.00765306	
512	0.00804126	
513	0.00842946	
514	0.00881766	
515	0.00920586	
516	0.00959406	
517	0.00687666	
518	0.00626664	
519	0.00565661	
520	0.00504658	
521	0.00443656	
522	0.00382653	
523	0.0032165	
524	0.00260648	
525	0.00199645	
526	0.00138642	
527	0.000776398	
528	0.000166371	
529	0.00443656	
530	0.00454747	
531	0.00465839	
532	0.0047693	
533	0.00488021	
534	0.00499113	
535	0.00510204	
536	0.00521295	
537	0.00532387	
538	0.00543478	
539	0.0055457	
540	0.00565661	
541	0.00488021	
542	0.00454747	
543	0.00421473	
544	0.00388199	
545	0.00354925	
546	0.0032165	
547	0.00288376	
548	0.00255102	
549	0.00221828	
550	0.00188554	
551	0.0015528	
552	0.00122005	
553	0.00354925	
554	0.00299468	
555	0.00244011	
556	0.00188554	
557	0.00133097	
558	0.000776398	
559	0.000221828	
560	-0.000332742	
561	-0.000887311	
562	-0.00144188	
563	-0.00199645	
564	-0.00255102	
565	0.00133097	
566	0.0011646	
567	0.000998225	
568	0.000831854	
569	0.000665484	
570	0.000499113	
571	0.000332742	
572	0.000166371	
573	0	
574	-0.000166371	
575	-0.000332742	
576	-0.000499113	
577	0.000665484	
578	0.000942768	
579	0.00122005	
580	0.00149734	
581	0.00177462	
582	0.00205191	
583	0.00232919	
584	0.00260648	
585	0.00288376	
586	0.00316105	
587	0.00343833	
588	0.00371562	
589	0.00177462	
590	0.00232919	
591	0.00288376	
592	0.00343833	
593	0.0039929	
594	0.00454747	
595	0.00510204	
596	0.00565661	
597	0.00621118	
598	0.00676575	
599	0.00732032	
600	0.00787489	
601	0.0039929	
602	0.00504658	
603	0.00610027	
604	0.00715395	
605	0.00820763	
606	0.00926131	
607	0.010315	
608	0.0113687	
609	0.0124224	
610	0.013476	
611	0.0145297	
612	0.0155834	
613	0.00820763	
614	0.00643301	
615	0.00465839	
616	0.00288376	
617	0.00110914	
618	-0.000665484	
619	-0.00244011	
620	-0.00421473	
621	-0.00598935	
622	-0.00776398	
623	-0.0095386	
624	-0.0113132	
625	0.00110914	
626	0.00277285	
627	0.00443656	
628	0.00610027	
629	0.00776398	
630	0.00942768	
631	0.0110914	
632	0.0127551	
633	0.0144188	
634	0.0160825	
635	0.0177462	
636	0.0194099	
637	0.00776398	
638	0.00909494	
639	0.0104259	
640	0.0117569	
641	0.0130878	
642	0.0144188	
643	0.0157498	
644	0.0170807	
645	0.0184117	
646	0.0197427	
647	0.0210736	
648	0.0224046	
649	0.0130878	
650	0.0108141	
651	0.00854037	
652	0.00626664	
653	0.0039929	
654	0.00171917	
655	-0.00055457	
656	-0.00282831	
657	-0.00510204	
658	-0.00737578	
659	-0.00964951	
660	-0.0119232	
661	0.0039929	
662	0.00366016	
663	0.00332742	
664	0.00299468	
665	0.00266193	
666	0.00232919	
667	0.00199645	
668	0.00166371	
669	0.00133097	
670	0.000998225	
671	0.000665484	
672	0.000332742	
673	0.00266193	
674	0.00232919	
675	0.00199645	
676	0.00166371	
677	0.00133097	
678	0.000998225	
679	0.000665484	
680	0.000332742	
681	0	
682	-0.000332742	
683	-0.000665484	
684	-0.000998225	
685	0.00133097	
686	0.00133097	
687	0.00133097	
688	0.00133097	
689	0.00133097	
690	0.00133097	
691	0.00133097	
692	0.00133097	
693	0.00133097	
